--- scanner 0 ---
562,-830,765
477,603,962
653,638,963
519,630,969
484,-859,699
566,901,-526
-556,-387,-739
-556,-734,606
550,725,-495
-325,554,-668
590,-625,-615
-541,-810,749
-30,-66,159
517,-703,-550
-597,516,531
-652,-836,647
-459,-333,-629
-723,455,466
453,-635,-512
-525,450,418
539,-867,749
-368,643,-618
479,808,-450
128,4,70
-328,822,-676
-389,-445,-710

--- scanner 1 ---
882,-359,-895
-568,-692,717
853,785,496
846,708,399
-512,-419,-524
-526,-543,-674
372,-764,479
-571,-621,-509
-520,439,-794
458,-684,545
927,754,376
83,-74,-82
-34,16,42
-335,458,283
-546,559,-745
-538,389,-663
850,804,-669
-501,-835,677
-294,593,263
875,812,-738
916,-458,-747
848,-422,-693
820,624,-698
-379,-734,665
368,-806,548
-300,658,258

--- scanner 2 ---
-598,871,923
-725,-690,876
439,339,640
437,344,708
279,578,-430
-839,379,-410
307,290,735
-703,869,980
-401,-616,-550
781,-856,507
17,-53,24
297,447,-579
816,-803,434
-648,-694,693
500,-784,-460
825,-850,663
-516,-701,-538
-862,349,-357
-854,339,-497
-737,-670,672
-570,773,967
-495,-678,-483
-160,47,167
259,416,-419
476,-871,-404
629,-843,-413

--- scanner 3 ---
747,692,-828
705,744,-639
798,-590,547
634,-482,-636
662,466,594
703,520,540
-445,310,-872
-548,-650,547
-645,285,-907
556,-647,-681
-376,-636,-669
696,636,550
432,-497,-695
-623,301,435
-426,-767,-687
592,-610,537
-481,-628,436
-546,-718,-661
-24,26,-35
721,-683,527
848,704,-706
-580,290,-913
137,-123,-61
-602,423,528
-616,385,388
-511,-653,633

--- scanner 4 ---
-605,534,764
-407,-493,-557
588,-470,-451
-580,628,732
895,644,417
763,699,444
913,653,-385
904,424,-432
610,-346,560
564,-414,-364
801,568,536
-313,-560,-619
-649,662,-565
869,497,-379
-560,683,-541
-849,-480,489
699,-291,570
-637,866,-545
-428,-548,-534
-25,61,-27
717,-423,-392
-553,682,724
-747,-519,346
-743,-541,380
617,-350,465

--- scanner 5 ---
-689,657,543
650,-504,353
-274,-731,537
-578,-485,-920
721,417,-745
-266,-756,468
-568,605,-500
927,-725,-368
475,775,418
-639,639,412
-518,478,-386
721,-591,348
-683,-488,-858
527,719,483
653,422,-747
-513,450,-508
-519,665,461
626,368,-877
438,774,421
698,-772,-359
-17,106,-30
-545,-547,-899
854,-778,-403
-454,-701,508
660,-444,285
81,-16,-139

--- scanner 6 ---
550,-633,675
-565,340,-543
-272,-440,658
-462,484,770
-306,-623,-345
746,748,735
-229,-575,-481
838,710,604
-208,-429,598
-329,-682,-421
-339,492,602
-459,457,721
558,-606,621
600,-861,-663
-595,402,-598
135,4,-65
-326,-420,468
608,-733,-633
-522,348,-558
492,531,-624
539,702,-692
518,-658,769
91,-125,78
694,-765,-573
865,842,659
541,541,-568

--- scanner 7 ---
530,361,682
38,-173,51
776,-905,-578
-728,-808,-653
581,470,-696
-640,-519,731
-808,-642,739
-706,-827,-588
-891,786,-728
654,359,521
520,-702,875
-656,-763,-757
-759,-639,766
-771,727,-666
388,477,-693
-790,799,-718
530,488,-723
-697,685,381
505,-745,883
623,-972,-633
-86,-5,112
560,-775,821
659,-897,-513
-773,566,475
-642,658,513
586,312,692

--- scanner 8 ---
418,475,749
670,-563,947
451,550,938
16,55,-3
920,428,-411
886,329,-263
852,392,-465
-516,-469,-364
-567,591,-649
-534,-419,-495
-327,-595,556
879,-842,-420
-482,-540,548
-524,598,480
824,-654,-460
611,-425,906
-534,587,613
608,-530,968
-355,-590,434
-542,-589,-413
511,530,797
-522,513,-484
130,-53,118
-508,389,-634
854,-834,-489
-475,513,623

--- scanner 9 ---
-808,-717,-532
801,462,-427
-725,-674,-509
-404,578,473
-400,537,482
-677,620,-628
-805,-722,-668
512,-551,-714
689,389,-392
737,-639,448
-553,539,430
618,459,-517
853,-526,493
-731,632,-577
-21,148,79
458,-752,-701
628,479,505
597,442,601
-660,-509,702
-584,-719,707
-876,668,-590
-626,-525,747
459,-614,-745
796,-677,518
588,521,668

--- scanner 10 ---
-389,811,-591
-444,839,-381
-419,808,-580
-645,498,763
-643,-474,502
650,744,484
-160,-15,10
685,-640,-569
-584,-485,-673
654,-733,-711
-689,-428,-758
376,888,-343
13,81,-49
384,891,-611
434,848,-522
749,-447,913
685,-446,771
-688,-540,570
-594,380,787
682,-794,-523
496,724,531
-35,147,138
777,-298,807
-625,-499,-773
-651,446,630
-650,-513,512
561,641,405

--- scanner 11 ---
-277,605,-470
569,553,-635
548,613,483
-405,-574,726
-248,697,-547
579,668,645
450,-944,665
493,-867,839
77,-78,31
-610,506,539
-301,-619,654
431,-463,-525
-256,717,-571
438,-438,-424
-425,-410,-625
-470,-555,704
-480,-477,-778
479,-541,-377
-680,474,573
543,566,640
491,-860,658
469,539,-594
484,610,-530
-726,662,543
-545,-485,-661

--- scanner 12 ---
-671,538,406
-504,-417,579
588,613,-492
538,579,-465
706,-659,-613
-80,-112,49
-665,-581,-479
-623,454,433
